,Unnamed: 0,videoId,scanTimestamp,videoExactPublishDate,creatorSubscriberNumber,videoTrendsRanking,videoLengthSeconds,videoType,videoCategory,trendingCountry,exactViewNumber,numberLikes,numberOfComments,isCreatorVerified,videoKeywords,Epoch
60,60,dh8XxY717Gw,1702947835.763489,2023-12-07T09:15:03-08:00,2.5M subscribers,10,1740,Recently Trending,Autos & Vehicles,FR,"3,197,221 views",324K,32K,True,"['vilebrequin', 'voiture', 'automobile', 'essai', 'test', 'vultech', 'vilbrequin', 'multipla', 'xantia', 'mécanique', ""dos d'âne"", 'dodane', 'dodane 130', 'dos dane 130', ""vilebrequin dos d'ane"", ""vilebrequin dos d'âne"", ""dos d'ane 170"", 'vilebrequin bus', 'drift', 'drole', 'fun', 'squeezie', 'amixem', 'joyca', '1000tipla', 'vilebrequin bourré', ""dos d'âne 170"", '1ÈRE 130', 'top gear', 'crash', 'accident', 'jump', 'drift bus', 'dodane 170', 'mcfly', 'fin vilebrequin', 'vilebrequin fini', 'arret vilebrequin', 'vilebrequin drama', 'vilebrequin fin', 'dernière video']",1
61,61,OBgUnwkPivg,1702947835.763489,2023-12-15T09:22:32-08:00,1.95M subscribers,11,509,Recently Trending,People & Blogs,FR,"862,882 views",5.8K,657,False,"['guy marchand', 'hommage', 'patrick sébastien']",1
62,62,WB9wpwPVzyY,1702947835.763489,2023-12-08T09:00:37-08:00,6.84M subscribers,12,229,Recently Trending,Music,FR,"7,509,424 views",138K,1.1K,True,"['JuL', 'Alonzo', 'La fusion', 'Clip Officiel', 'La Route Est Longue', 'LREL']",1
63,63,aZOiDNzoeWQ,1702947835.763489,2023-12-17T02:17:24-08:00,9.19M subscribers,13,1679,Recently Trending,Entertainment,FR,"979,581 views",63K,1.7K,True,"['michou', 'roue', 'tournes', 'souffres', 'vidéo', 'Tu']",1
64,64,oByOOqDerrM,1702947835.763489,2023-12-15T10:00:06-08:00,1.15M subscribers,14,1800,Recently Trending,Entertainment,FR,"393,395 views",25K,327,False,,1
65,65,XE_IK7ouDuc,1702947835.763489,2023-12-07T15:00:18-08:00,95.8K subscribers,15,238,Recently Trending,Music,FR,"2,807,620 views",66K,2.1K,False,"['dadju i love you', 'tayc i love you', ""et si je te dit que je t'aime"", 'dadju tayc', 'tayc dadju', 'dadju tayc album', 'tayc dadju album', 'projet commun tayc dadju', 'projet commun dadju tayc', 'tayc dadju album commun', 'dadju tayc album commun', 'tayc dadju paroles', 'dadju tayc paroles']",1
66,66,_Gv62FX9fFc,1702947835.763489,2023-12-07T09:30:05-08:00,53.5K subscribers,16,2669,Recently Trending,Entertainment,FR,"1,660,596 views",51K,1K,False,"['Loris', 'giuliano', 'istanbul', 'station service', 'roman frayssinet', 'finale ldc', 'league des champions']",1
67,67,F8lPTlpThEo,1702947835.763489,2023-12-08T09:01:00-08:00,1.31M subscribers,17,203,Recently Trending,Music,FR,"1,239,909 views",63K,1.5K,False,"['Zola', 'Koba', 'Koba Ła D', 'Kobalad', 'zola x koba Ła d', 'zola feat koba Ła d', 'aller sans retour', 'allersansretour', 'tiakoxgazo', 'Tiago x gazo', 'mlgx', 'La melo est gangz', 'Tiakola feat gazo', 'Zola feat koba aller sans retour', 'zola feat koba Ła d aller sans retour', 'Zola - Koba LaD', 'TruthRecords', 'BMF', 'Truth Records', 'AWA', 'AWA GANG', 'KORE', 'GAZO TIAKOLA', 'ALBUM COMMUN', 'Tiakola - Gazo', 'Gazo Tiakola']",1
68,68,EUtsTZK0YuY,1702947835.763489,2023-12-15T08:00:14-08:00,627K subscribers,18,1106,Recently Trending,Entertainment,FR,"773,750 views",20K,1.2K,True,"['jai construit une piece secrete', 'jai construit une piece secrete dans ma maison de noel', 'jai construit une piece secrete maison', 'piece secrete maison', 'piece secrete maison de noel', 'piece secrete']",1
69,69,jclw_cAtcIg,1702947835.763489,2023-12-15T09:00:09-08:00,226K subscribers,19,171,Recently Trending,Music,FR,"343,762 views",24K,941,False,,1
